cliente_id,provincia,consumo_kwh,paneles_solares,tarifa,mes
174,Santiago del Estero,477,4,residencial,8
175,Catamarca,1175,5,comercial,9
176,Santiago del Estero,361,14,industrial,3
177,Jujuy,474,2,industrial,11
178,Santiago del Estero,779,11,residencial,3
179,Jujuy,1018,4,comercial,1
180,Santiago del Estero,521,9,comercial,1
181,Catamarca,65,6,comercial,2
182,Catamarca,492,15,residencial,6
183,Salta,387,4,comercial,8
184,Santiago del Estero,1132,17,residencial,1
185,Tucumán,1315,19,industrial,12
186,Catamarca,1253,0,industrial,9
187,Santiago del Estero,921,13,industrial,1
188,Jujuy,1043,5,residencial,2
189,Salta,467,4,industrial,4
190,Santiago del Estero,387,20,comercial,2
191,Catamarca,385,17,comercial,7
192,Jujuy,1315,11,comercial,7
193,Salta,780,12,residencial,7
194,Jujuy,187,19,industrial,7
195,Catamarca,717,17,residencial,7
196,Salta,875,19,industrial,7
197,Jujuy,1017,13,industrial,10
198,Salta,861,2,residencial,1
199,Jujuy,685,3,residencial,8
200,Salta,1362,6,comercial,5
201,Tucumán,401,16,industrial,2
202,Salta,299,18,industrial,10
203,Salta,911,0,industrial,4
204,Santiago del Estero,1007,16,industrial,12
205,Catamarca,776,10,industrial,4
206,Salta,928,11,industrial,12
207,Tucumán,1002,20,residencial,8
208,Santiago del Estero,956,6,comercial,4
209,Catamarca,422,4,comercial,4
210,Catamarca,867,2,comercial,11
211,Catamarca,628,19,residencial,6
212,Salta,1155,4,industrial,7
213,Tucumán,1078,4,industrial,8
214,Tucumán,666,7,industrial,8
215,Tucumán,501,16,industrial,3
216,Salta,208,6,comercial,12
217,Jujuy,1158,3,industrial,7
218,Tucumán,173,19,comercial,5
219,Jujuy,441,3,residencial,5
220,Catamarca,673,1,comercial,10
221,Jujuy,945,19,residencial,2
222,Salta,1062,12,industrial,10
223,Santiago del Estero,191,18,comercial,9
224,Salta,1442,7,residencial,9
225,Santiago del Estero,324,8,industrial,5
226,Tucumán,1336,15,industrial,7
227,Catamarca,128,6,residencial,5
228,Tucumán,312,12,comercial,7
229,Jujuy,703,19,residencial,9
230,Tucumán,666,7,comercial,4
231,Tucumán,1416,5,residencial,5
232,Tucumán,405,15,comercial,7
233,Catamarca,515,8,residencial,11
234,Jujuy,129,11,residencial,9
235,Catamarca,134,3,comercial,10
236,Jujuy,1456,0,industrial,11
237,Catamarca,1021,0,comercial,1
238,Tucumán,466,17,industrial,9
239,Catamarca,783,15,residencial,6
240,Salta,485,0,residencial,2
241,Jujuy,1389,5,industrial,6
242,Catamarca,1481,20,comercial,9
243,Salta,320,10,comercial,1
244,Jujuy,614,13,comercial,11
245,Catamarca,1242,19,comercial,10
246,Salta,1185,7,comercial,9
247,Salta,216,20,industrial,1
248,Tucumán,1230,19,industrial,3
249,Salta,1297,12,industrial,2
250,Santiago del Estero,947,5,comercial,12
251,Salta,262,17,residencial,3
252,Salta,967,15,comercial,9
253,Catamarca,1026,19,industrial,8
254,Catamarca,1253,9,comercial,2
255,Salta,412,17,industrial,4
256,Jujuy,1093,0,comercial,10
257,Santiago del Estero,397,11,industrial,12
258,Santiago del Estero,1279,18,comercial,4
259,Jujuy,390,3,residencial,9
260,Santiago del Estero,335,0,comercial,5
261,Jujuy,429,2,residencial,7
262,Catamarca,1328,16,residencial,12
263,Santiago del Estero,1093,2,residencial,1
264,Catamarca,346,9,residencial,8
265,Jujuy,175,2,residencial,10
266,Jujuy,682,3,comercial,8
267,Jujuy,92,7,residencial,6
268,Catamarca,1282,7,comercial,1
269,Tucumán,994,5,comercial,3
270,Santiago del Estero,346,3,industrial,6
271,Santiago del Estero,1337,7,comercial,5
272,Santiago del Estero,1272,12,comercial,10
273,Santiago del Estero,578,4,industrial,7
274,Salta,641,1,comercial,4
275,Catamarca,877,1,comercial,3
276,Salta,758,9,residencial,10
277,Catamarca,1481,7,residencial,8
278,Salta,1425,19,comercial,6
279,Santiago del Estero,1301,2,residencial,9
280,Tucumán,1252,4,residencial,2
281,Santiago del Estero,209,5,residencial,6
282,Catamarca,809,9,industrial,12
283,Jujuy,1136,0,industrial,9
284,Jujuy,428,2,industrial,5
285,Salta,276,11,residencial,5
286,Salta,285,9,residencial,5
287,Salta,1156,14,industrial,5
288,Tucumán,1290,9,residencial,7
289,Salta,1124,4,residencial,12
290,Santiago del Estero,202,1,industrial,3
291,Santiago del Estero,994,4,industrial,4
292,Santiago del Estero,1068,12,comercial,12
293,Salta,147,11,residencial,4
294,Jujuy,276,9,residencial,4
295,Tucumán,781,13,industrial,2
296,Tucumán,973,12,comercial,10
297,Tucumán,233,1,comercial,5
298,Santiago del Estero,1300,15,residencial,10
299,Santiago del Estero,982,3,industrial,6
300,Jujuy,841,12,industrial,7
301,Catamarca,162,1,comercial,4
302,Santiago del Estero,377,18,comercial,8
303,Salta,1062,14,residencial,3
304,Catamarca,410,10,industrial,5
305,Tucumán,1159,13,residencial,1
306,Tucumán,1224,1,residencial,10
307,Jujuy,732,0,residencial,6
308,Catamarca,1039,13,residencial,7
309,Salta,885,6,industrial,8
310,Catamarca,469,17,residencial,7
311,Jujuy,862,14,comercial,5
312,Santiago del Estero,1158,0,residencial,6
313,Jujuy,859,19,industrial,12
314,Salta,1125,4,comercial,10
315,Salta,417,2,industrial,2
316,Salta,1335,18,comercial,8
317,Jujuy,232,15,industrial,6
318,Catamarca,645,17,industrial,6
319,Salta,1009,14,industrial,4
320,Santiago del Estero,1059,0,industrial,12
321,Catamarca,254,18,comercial,4
322,Salta,358,14,industrial,10
323,Santiago del Estero,546,19,residencial,2
324,Tucumán,468,6,residencial,4
325,Jujuy,1301,13,industrial,2
326,Santiago del Estero,1253,11,residencial,8
327,Santiago del Estero,1300,7,residencial,5
328,Tucumán,302,15,comercial,7
329,Tucumán,874,4,industrial,12
330,Santiago del Estero,455,11,comercial,12
331,Catamarca,126,11,comercial,5
332,Tucumán,249,13,comercial,6
333,Tucumán,231,17,comercial,11
334,Catamarca,244,14,residencial,6
335,Salta,400,8,industrial,2
336,Tucumán,1175,19,industrial,6
337,Tucumán,427,4,residencial,1
338,Catamarca,676,20,comercial,2
339,Jujuy,1344,5,industrial,12
340,Jujuy,1239,18,residencial,10
341,Salta,1378,5,residencial,7
342,Tucumán,1309,1,industrial,8
343,Salta,352,11,industrial,7
344,Salta,430,8,comercial,8
345,Salta,116,15,residencial,2
346,Catamarca,1130,9,industrial,12
347,Santiago del Estero,224,5,comercial,7
348,Salta,1226,17,residencial,9
349,Catamarca,799,1,industrial,3
350,Salta,1101,2,residencial,8
351,Tucumán,652,17,residencial,4
352,Jujuy,1468,3,industrial,9
353,Salta,959,7,comercial,11
354,Tucumán,233,10,comercial,12
355,Tucumán,167,10,comercial,10
356,Jujuy,1435,7,comercial,4
357,Catamarca,1346,0,industrial,4
358,Catamarca,1268,6,comercial,12
359,Salta,1356,5,residencial,3
360,Santiago del Estero,761,3,residencial,3
361,Salta,150,12,comercial,3
362,Santiago del Estero,149,2,comercial,2
363,Santiago del Estero,726,10,comercial,8
364,Jujuy,1467,13,residencial,12
365,Salta,301,16,comercial,5
366,Catamarca,295,3,industrial,7
367,Salta,1227,14,comercial,4
368,Jujuy,1380,14,residencial,1
369,Salta,1323,17,residencial,3
370,Salta,935,8,residencial,3
371,Catamarca,579,9,residencial,10
372,Jujuy,231,4,comercial,5
373,Tucumán,1478,16,comercial,12
374,Catamarca,238,8,comercial,9
375,Catamarca,803,19,residencial,8
376,Salta,577,3,industrial,5
377,Salta,348,11,industrial,8
378,Salta,814,15,industrial,4
379,Tucumán,819,14,residencial,8
380,Tucumán,276,0,comercial,5
381,Catamarca,1289,0,industrial,8
382,Santiago del Estero,316,13,residencial,11
383,Salta,250,11,industrial,12
384,Salta,567,15,comercial,8
385,Tucumán,725,6,residencial,11
386,Santiago del Estero,260,6,comercial,12
387,Tucumán,1485,14,comercial,11
388,Salta,1252,3,industrial,4
389,Catamarca,1159,15,comercial,5
390,Jujuy,143,10,industrial,10
391,Tucumán,351,3,residencial,4
392,Santiago del Estero,70,6,residencial,9
393,Tucumán,60,4,industrial,1
394,Catamarca,243,17,industrial,8
395,Tucumán,965,18,comercial,12
396,Jujuy,578,18,industrial,9
397,Salta,290,12,residencial,8
398,Catamarca,1039,18,industrial,4
399,Catamarca,1392,17,industrial,3
400,Salta,523,1,comercial,5
401,Salta,76,19,comercial,10
402,Catamarca,345,11,comercial,6
403,Salta,1086,7,industrial,6
404,Salta,1379,16,industrial,9
405,Salta,172,20,residencial,9
406,Salta,1154,9,comercial,2
407,Santiago del Estero,1241,2,residencial,5
408,Jujuy,1002,10,industrial,4
409,Salta,612,18,comercial,4
410,Jujuy,1237,14,residencial,5
411,Salta,439,7,residencial,9
412,Tucumán,1361,0,industrial,1
413,Tucumán,523,14,industrial,2
414,Catamarca,153,11,comercial,10
415,Santiago del Estero,1383,7,industrial,8
416,Salta,123,16,residencial,5
417,Jujuy,1356,4,residencial,1
418,Santiago del Estero,1086,3,comercial,1
419,Jujuy,383,17,industrial,11
420,Salta,1498,17,industrial,6
421,Salta,85,2,comercial,3
422,Santiago del Estero,934,5,residencial,2
423,Catamarca,441,10,industrial,5
424,Tucumán,765,12,industrial,11
425,Santiago del Estero,1108,5,residencial,12
426,Catamarca,297,7,residencial,7
427,Salta,1146,2,industrial,1
428,Tucumán,406,16,industrial,7
429,Tucumán,759,0,comercial,12
430,Santiago del Estero,690,13,comercial,11
431,Jujuy,1488,6,residencial,8
432,Salta,1437,0,comercial,7
433,Jujuy,1053,17,residencial,9
434,Catamarca,1278,2,residencial,11
435,Jujuy,361,13,industrial,8
436,Tucumán,1047,14,comercial,4
437,Catamarca,1480,8,residencial,1
438,Salta,483,14,industrial,6
439,Tucumán,1299,5,residencial,9
440,Jujuy,1275,9,residencial,8
441,Catamarca,895,12,industrial,1
442,Catamarca,1489,16,residencial,9
443,Santiago del Estero,401,17,residencial,3
444,Tucumán,225,13,residencial,8
445,Tucumán,601,1,residencial,7
446,Santiago del Estero,1026,7,residencial,11
447,Santiago del Estero,646,9,comercial,5
448,Catamarca,238,14,comercial,8
449,Catamarca,833,1,industrial,4
450,Catamarca,480,6,residencial,12
451,Catamarca,110,9,comercial,7
452,Tucumán,671,7,industrial,10
453,Salta,436,16,industrial,10
454,Jujuy,710,13,industrial,4
455,Salta,1384,9,comercial,7
456,Jujuy,837,3,comercial,3
457,Catamarca,484,13,residencial,2
458,Jujuy,434,14,comercial,1
459,Jujuy,756,17,industrial,10
460,Tucumán,1295,13,residencial,2
461,Santiago del Estero,1463,18,residencial,11
462,Tucumán,50,18,residencial,10
463,Santiago del Estero,1449,17,comercial,6
464,Jujuy,1007,13,residencial,2
465,Catamarca,1151,6,comercial,3
466,Jujuy,1370,16,residencial,5
467,Salta,1154,0,residencial,1
468,Santiago del Estero,818,3,residencial,7
469,Catamarca,1306,15,industrial,5
470,Catamarca,933,10,comercial,5
471,Tucumán,1386,6,residencial,6
472,Catamarca,958,20,residencial,2
473,Catamarca,525,0,industrial,11
474,Salta,1040,13,industrial,5
475,Tucumán,568,1,industrial,10
476,Catamarca,494,14,industrial,1
477,Santiago del Estero,818,20,residencial,8
478,Santiago del Estero,1170,11,industrial,3
479,Salta,1082,20,comercial,9
480,Santiago del Estero,585,19,industrial,3
481,Salta,1067,11,comercial,7
482,Jujuy,652,8,industrial,3
483,Santiago del Estero,139,12,comercial,7
484,Tucumán,1493,18,industrial,7
485,Tucumán,81,19,residencial,12
486,Santiago del Estero,170,6,industrial,7
487,Jujuy,497,7,comercial,9
488,Tucumán,1197,15,residencial,1
489,Jujuy,740,14,residencial,1
490,Jujuy,173,0,industrial,4
491,Salta,904,20,comercial,3
492,Salta,1261,19,comercial,6
493,Tucumán,564,8,comercial,2
494,Tucumán,1343,1,industrial,10
495,Jujuy,921,6,industrial,2
496,Tucumán,1274,20,residencial,5
497,Salta,1269,5,comercial,12
498,Santiago del Estero,589,14,comercial,7
499,Jujuy,882,19,comercial,8
500,Catamarca,1310,6,residencial,3
501,Salta,259,0,industrial,4
502,Catamarca,490,14,residencial,5
503,Catamarca,245,15,comercial,2
504,Salta,1482,3,comercial,8
505,Tucumán,1400,19,residencial,8
506,Tucumán,520,0,residencial,9
507,Jujuy,1131,8,residencial,4
508,Jujuy,242,20,industrial,5
509,Tucumán,561,19,residencial,2
510,Santiago del Estero,262,9,comercial,8
511,Catamarca,1163,8,industrial,6
512,Salta,1316,9,residencial,2
513,Santiago del Estero,890,20,residencial,3
514,Santiago del Estero,921,9,comercial,5
515,Salta,1351,1,residencial,5
516,Santiago del Estero,1194,3,industrial,2
517,Catamarca,876,16,industrial,4
518,Catamarca,141,18,industrial,11
519,Tucumán,1153,9,residencial,12
520,Catamarca,1387,20,residencial,12
521,Jujuy,464,8,industrial,4
522,Santiago del Estero,945,16,residencial,12
523,Salta,1363,5,comercial,3
524,Salta,566,8,industrial,8
525,Tucumán,728,0,residencial,9
526,Tucumán,931,2,comercial,2
527,Salta,804,16,residencial,8
528,Catamarca,51,16,residencial,2
529,Tucumán,133,10,residencial,3
530,Santiago del Estero,86,9,industrial,1
531,Salta,1104,11,industrial,5
532,Jujuy,1393,20,residencial,1
533,Santiago del Estero,249,17,residencial,7
534,Jujuy,58,4,residencial,11
535,Jujuy,372,15,comercial,10
536,Santiago del Estero,1406,8,comercial,3
537,Jujuy,92,15,industrial,1
538,Jujuy,336,16,comercial,11
539,Tucumán,1103,16,comercial,2
540,Catamarca,1348,1,comercial,4
541,Catamarca,1124,9,industrial,4
542,Tucumán,594,19,industrial,7
543,Catamarca,225,20,industrial,1
544,Salta,1401,0,comercial,10
545,Jujuy,298,8,industrial,4
546,Santiago del Estero,1152,12,industrial,8
547,Catamarca,872,11,comercial,7
548,Salta,221,17,industrial,10
549,Santiago del Estero,1413,5,industrial,6
550,Jujuy,1290,19,industrial,5
551,Catamarca,615,17,industrial,4
552,Salta,95,11,comercial,3
553,Salta,1204,17,comercial,1
554,Jujuy,989,4,comercial,12
555,Catamarca,140,14,residencial,3
556,Santiago del Estero,593,4,industrial,5
557,Santiago del Estero,99,2,residencial,2
558,Santiago del Estero,1321,16,comercial,6
559,Tucumán,750,4,industrial,11
560,Tucumán,223,9,comercial,7
561,Jujuy,1107,2,industrial,12
562,Santiago del Estero,1495,17,residencial,7
563,Salta,281,13,comercial,6
564,Santiago del Estero,1075,1,comercial,3
565,Tucumán,1431,20,residencial,8
566,Catamarca,892,19,comercial,6
567,Tucumán,1111,6,industrial,9
568,Catamarca,351,3,residencial,12
569,Salta,235,0,industrial,3
570,Jujuy,985,0,residencial,2
571,Jujuy,660,4,residencial,1
572,Catamarca,261,7,comercial,6
573,Catamarca,355,7,industrial,11
574,Salta,906,12,comercial,8
575,Jujuy,1240,6,residencial,9
576,Santiago del Estero,54,7,comercial,1
577,Jujuy,612,3,residencial,4
578,Catamarca,120,15,industrial,9
579,Santiago del Estero,289,4,residencial,9
580,Santiago del Estero,929,6,industrial,6
581,Santiago del Estero,1050,16,comercial,2
582,Jujuy,204,4,industrial,7
583,Catamarca,1200,7,comercial,6
584,Catamarca,723,14,residencial,7
585,Catamarca,1440,16,residencial,7
586,Jujuy,551,10,industrial,12
587,Salta,896,1,comercial,9
588,Catamarca,371,1,industrial,12
589,Tucumán,572,13,residencial,7
590,Tucumán,1244,20,industrial,6
591,Jujuy,1264,8,residencial,5
592,Jujuy,1061,17,residencial,4
593,Catamarca,277,13,comercial,4
594,Salta,57,15,residencial,4
595,Salta,922,15,comercial,10
596,Tucumán,781,19,industrial,11
597,Catamarca,1493,10,comercial,7
598,Catamarca,1224,14,industrial,9
599,Tucumán,1265,2,residencial,8
600,Salta,1401,0,comercial,4
601,Tucumán,784,5,residencial,9
602,Salta,1361,18,comercial,11
603,Tucumán,698,2,residencial,10
604,Santiago del Estero,352,11,comercial,2
605,Jujuy,445,0,residencial,11
606,Santiago del Estero,1094,1,residencial,3
607,Salta,525,9,comercial,12
608,Santiago del Estero,1117,8,comercial,12
609,Tucumán,798,17,industrial,5
610,Jujuy,775,14,comercial,3
611,Jujuy,102,9,residencial,5
612,Jujuy,1045,3,comercial,5
613,Tucumán,795,7,residencial,9
614,Tucumán,1304,12,residencial,7
615,Tucumán,386,16,residencial,12
616,Salta,1277,10,industrial,7
617,Santiago del Estero,803,3,comercial,2
618,Santiago del Estero,539,11,residencial,12
619,Salta,481,0,industrial,9
620,Tucumán,1169,2,residencial,9
621,Catamarca,708,1,comercial,8
622,Santiago del Estero,365,14,residencial,2
623,Tucumán,99,20,industrial,2
624,Jujuy,269,20,industrial,12
625,Salta,1106,0,residencial,8
626,Salta,677,4,residencial,6
627,Salta,268,17,residencial,11
628,Santiago del Estero,1212,9,residencial,2
629,Catamarca,238,19,comercial,7
630,Tucumán,1387,11,comercial,12
631,Salta,352,0,industrial,9
632,Catamarca,797,13,residencial,4
633,Catamarca,687,6,comercial,7
634,Tucumán,357,16,residencial,1
635,Jujuy,836,2,comercial,11
636,Catamarca,706,11,residencial,3
637,Salta,426,11,residencial,11
638,Tucumán,1277,9,residencial,11
639,Jujuy,1490,18,comercial,12
640,Santiago del Estero,869,8,comercial,11
641,Catamarca,126,7,comercial,7
642,Tucumán,89,19,comercial,4
643,Catamarca,641,0,comercial,8
644,Tucumán,491,1,industrial,2
645,Jujuy,979,8,comercial,11
646,Jujuy,1255,6,industrial,11
647,Santiago del Estero,510,11,residencial,3
648,Jujuy,123,12,industrial,3
649,Tucumán,359,11,comercial,12
650,Santiago del Estero,967,19,comercial,12
651,Catamarca,593,11,comercial,12
652,Santiago del Estero,570,2,residencial,9
653,Tucumán,312,11,residencial,8
654,Tucumán,829,18,industrial,12
655,Tucumán,395,2,residencial,4
656,Salta,1099,12,comercial,5
657,Salta,450,12,residencial,3
658,Santiago del Estero,1161,13,residencial,12
659,Jujuy,1285,10,industrial,1
660,Tucumán,103,9,comercial,11
661,Catamarca,929,19,industrial,6
662,Santiago del Estero,835,4,industrial,11
663,Jujuy,389,3,comercial,3
664,Santiago del Estero,1315,13,industrial,4
665,Catamarca,867,17,comercial,7
666,Salta,892,9,comercial,8
667,Jujuy,864,3,comercial,11
668,Catamarca,756,10,residencial,5
669,Tucumán,590,2,comercial,3
670,Tucumán,981,2,industrial,6
671,Salta,1381,5,comercial,3
672,Tucumán,1397,4,comercial,2
673,Salta,338,4,comercial,7
674,Tucumán,926,19,residencial,9
675,Salta,1106,5,industrial,5
676,Santiago del Estero,572,13,residencial,11
677,Jujuy,1030,13,residencial,3
678,Salta,239,11,comercial,9
679,Catamarca,1320,5,industrial,6
680,Jujuy,556,1,residencial,5
681,Salta,1461,4,comercial,7
682,Tucumán,561,17,comercial,4
683,Santiago del Estero,1003,1,residencial,9
684,Santiago del Estero,152,17,residencial,1
685,Jujuy,447,12,industrial,2
686,Catamarca,287,1,industrial,5
687,Salta,1120,1,industrial,4
688,Tucumán,251,10,residencial,9
689,Tucumán,585,14,comercial,7
690,Salta,139,4,industrial,6
691,Catamarca,211,14,residencial,11
692,Salta,615,3,comercial,11
693,Salta,962,3,residencial,9
694,Tucumán,788,9,comercial,8
695,Salta,640,7,comercial,8
696,Tucumán,186,20,comercial,3
697,Salta,109,4,residencial,7
698,Salta,537,14,residencial,7
699,Catamarca,783,8,industrial,7
700,Tucumán,918,12,industrial,3
701,Salta,1271,10,industrial,10
702,Catamarca,292,19,residencial,1
703,Catamarca,121,11,comercial,7
704,Santiago del Estero,677,16,industrial,7
705,Tucumán,550,9,residencial,10
706,Jujuy,126,11,residencial,4
707,Tucumán,1137,15,industrial,8
708,Jujuy,1465,15,industrial,11
709,Santiago del Estero,458,10,industrial,12
710,Catamarca,316,15,industrial,2
711,Santiago del Estero,1275,10,residencial,11
712,Santiago del Estero,428,3,residencial,12
713,Tucumán,1304,2,comercial,9
714,Tucumán,1372,20,residencial,3
715,Santiago del Estero,820,11,industrial,7
716,Catamarca,1491,18,comercial,8
717,Tucumán,221,0,industrial,8
718,Salta,1471,0,residencial,7
719,Tucumán,1086,14,industrial,3
720,Salta,242,10,comercial,8
721,Tucumán,500,1,comercial,1
722,Tucumán,1012,17,residencial,5
723,Santiago del Estero,1038,6,comercial,3
724,Salta,1047,13,residencial,12
725,Tucumán,1262,15,residencial,12
726,Jujuy,1418,17,comercial,3
727,Catamarca,1340,19,residencial,12
728,Jujuy,1209,5,industrial,9
729,Catamarca,528,4,residencial,12
730,Tucumán,347,3,industrial,1
731,Salta,1287,13,comercial,6
732,Jujuy,1081,15,residencial,8
733,Jujuy,738,4,residencial,3
734,Salta,85,11,residencial,12
735,Tucumán,981,12,residencial,12
736,Catamarca,318,18,comercial,8
737,Jujuy,820,6,residencial,2
738,Salta,1210,13,comercial,9
739,Santiago del Estero,874,13,comercial,7
740,Tucumán,547,10,comercial,3
741,Jujuy,111,2,residencial,10
742,Tucumán,980,5,comercial,1
743,Catamarca,1040,0,industrial,8
744,Catamarca,680,8,comercial,5
745,Santiago del Estero,425,20,comercial,4
746,Santiago del Estero,1137,10,industrial,5
747,Salta,274,20,industrial,10
748,Catamarca,577,9,residencial,6
749,Jujuy,1210,6,comercial,2
750,Jujuy,542,10,industrial,10
751,Jujuy,972,5,comercial,3
752,Salta,1060,18,comercial,12
753,Catamarca,1232,20,comercial,9
754,Jujuy,485,10,industrial,10
